Elvis Presley,RCA,1956,28,rock
Elvis,RCA,1956,29,rock
The Voice of Frank Sinatra,Columbia,1946,24,pop
Christmas Songs by Sinatra,Columbia,1948,44,pop
Please Please Me,Parlophone,1963,32,rock
With the Beatles,Parlophone,1963,33,rock
